Tanggal,Judul,Pengarang,Abstrak
18/07/2012,Analisis fungsionalitas modul sales force automation dan service automation pada aplikasi customer relationship management untuk destination management system: studi kasus XYZ.com,Putri Khusnul Khotimah,"vii Universitas Indonesia ABSTRAK Nama : Putri Khusnul Khotimah Program Studi : Sistem Informasi Judul : Analisis Fungsionalitas Modul Sales Force Automation dan Service Automation pada Aplikasi Customer Relationship Management untuk Destination Management System: Studi Kasus xyz.com Kombinasi penerapan teknolgi informasi dan strategi bisnis yang berbasis pelanggan telah menjadi tren dalam industri saat ini, tidak terkecuali indutri pariwisata. Penelitian ini membahas mengenai fungsionalitas modul Sales Force Automation dan Service Automation pada aplikasi Customer Relationship Management untuk membantu industri pariwisata, dengan memanfaatkan Destination Management System. Pendekatan kualitatif digunakan dalam penelitian ini, dengan berfokus pada kegiatan observasi pengguna dan metode expert judgment. Berdasarkan hasil analisis penelitian, didapatkan penetapan sembilan fungsionalitas sales force automation, lima fungsionalitas service automation, tujuh usulan fitur baru untuk mendukung fungsionalitas, serta fokus fungsionalitas pada fase mempertahankan pelanggan dalam daur hidup CRM, untuk xyz.com. Kata Kunci: Sales force automation, service automation, destination management systems"
18/07/2012,Analisis sentiment produk dan layanan menggunakan social media data pada corporate twitter: studi kasus perusahaan seluler XYZ,Windy Adam,"ABSTRAK Nama : Windy Adam Program Studi : Sistem Informasi Judul : Analisis Sentimen Produk dan Layanan Menggunakan Social Media Data Pada Corporate Twitter: Studi Kasus Perusahaan Seluler XYZ Pemanfaatan media sosial untuk menangani pelanggan dikenal sebagai social Customer Relationship Management (s-CRM). Namun masih banyak perusahaan yang memanfaatkan media sosial tanpa memanfaatkan lebih jauh social media data yang ada. Perusahaan menjadi tidak menyadari dan memahami vital insight customer yang terdapat pada media sosial. Tujuan penelitian ini memanfaatkan social media data pada Twitter perusahaan untuk analisis sentimen yang merupakan bagian dari customer experience terkait produk dan layanan Perusahaan Seluler XYZ. Penulis melakukan observasi terhadap sejumlah tweets yang ditujukan kepada perusahaan, kemudian hasil penetapan keyword dari tweets dipetakan untuk menganalisa customer experience dan sentimen. Keseluruhan proses pengolahan tweets merupakan bentuk kontribusi penulis. Kata kunci: social CRM, customer experience, analisa sentimen"
18/07/2012,Analisis fungsionalitas customer relasionship management pada modul marketing automation untuk destination management system: studi kasus XYZCOM,Yessica Sari,"ABSTRAK Nama : Yessica Sari Program Studi : Sistem Informasi Judul : Analisis Fungsionalitas Customer Relationship Management pada Modul Marketing Automation untuk Destination Management System : Studi Kasus XYZ.com Skripsi ini membahas tentang fungsionalitas marketing automation yang sesuai untuk sebuah destination management system yang mengambil studi kasus pada xyz.com. Fungsionalitas marketing automation merupakan salah satu bagian dari fungsi customer relationship management (CRM). Penelitian ini bertujuan untuk mengidentifikasi fungsionalitas marketing automation apa saja yang sudah terdapat pada destination management system dan mencoba untuk menerapkan fungsionalitas marketing automation yang belum terdapat pada destination management system tersebut. Penelitian dilakukan dengan melakukan studi literatur, observasi langsung sebagai pengguna, dan validasi melalui metode expert judgement. Hasil penelitian berupa 12 fungsionalitas marketing automation dan 6 usulan fitur baru yang dapat menunjang atau mendukung fungsionalitas marketing automation. Dengan adanya usulan fitur ini diharapkan dapat menambah nilai dari xyz.com. Kata Kunci : marketing automation, destination management system, CRM, fungsionalitas"
18/07/2012,Pengembangan dashboard indikator pembangunan pertanian sebagai informasi bagi eksekutif: studi kasus kementrian pertanian republik Indonesia,Fajar Pranata Siwi,"Kementerian Pertanian merupakan sebuah lembaga pemerintahan yang bertanggung jawab untuk melakukan kontrol terhadap seluruh kegiatan yang berkaitan dengan pertanian, perkebunan, dan peternakan di Indonesia. Salah satu tugasnya adalah memantau perkembangan kondisi pertanian di Indonesia yang disebut dengan istilah indikator pembangunan pertanian. Permasalahan yang muncul adalah data indikator pembangunan pertanian tidak disajikan secara baik kepada eksekutif karena data yang disajikan masih berupa tabel-tabel dan dalam file yang terpisah. Saat ini belum terdapat aplikasi yang dapat mempermudah eksekutif dalam melihat data tersebut. Skripsi ini mencoba menjawab permasalahan tersebut dengan mengembangkan dashboard untuk data indikator pembangunan pertanian. Langkah pertama adalah melakukan wawancara dengan Kepala Bidang Pengembangan Sistem Informasi untuk menganalisa permasalahan, menggali kebutuhan, serta menggali fungsi yang dibutuhkan dalam dashboard. Berdasarkan karakteristik yang ada tipe dashboard yang sesuai untuk dikembangkan adalah dashboard strategis. Berikutnya dilanjutkan dengan pembuatan prototype. Setelah prototype disetujui, dashboard ini mulai dikembangkan dengan menggunakan tools Xcelsius. Dashboard yang telah dikembangkan memiliki fungsi-fungsi yang terkait dengan indikator pembangunan pertanian antara lain menampilkan perkembangan data Produk Domestik Bruto, investasi pertanian, upah buruh tani, produksi komoditas pertanian, serta perkembangan luas lahan sawah nasional. Berdasarkan evaluasi didapatkan hasil bahwa pengguna dalam Kementerian Pertanian puas terhadap dashboard indikator pembangunan pertanian yang telah dikembangkan."
18/07/2012,"Studi keamanan aplikasi web institusi pendidikan menggunakan testing guide OWASP, studi kasus: scele Fasilkom UI",Nestor Sar Naru,"viii Universitas Indonesia ABSTRAK Nama : Nestor Sar Naru Program Studi : Ilmu Komputer Judul : Studi Keamanan Aplikasi Web Institusi Pendidikan Menggunakan Testing Guide OWASP, Studi Kasus: Scele Fasilkom UI Sampai saat ini, kesadaran untuk keamanan situs web terutama pada institusi pendidikan masih terbilang rendah. Padahal sudah seharusnya untuk membuat sebuah situs web perlu dilakukan pengujian untuk sistem keamanannya sebelum situs tersebut disebarluaskan. Scele sebagai situs web akademik milik Fasilkom UI merupakan situs web yang vital keberadaannya. Oleh karena itu, perlu dilakukan pengujian dengan menggunakan metode penetration test. Tugas akhir ini mengkaji keamanan dari hasil penetration test yang dilakukan berdasarkan testing guide dari OWASP terhadap bagian aplikasi dari situs web Scele. Dari hasilnya nanti kita dapat menggetahui seberapa besar tingkat kewaspadaan pihak Fakultas terhadap keamanannya. Kata Kunci: penetration test, testing"
18/07/2012,Analisis dan perancangan sisten enterprise resource planning pada fungsi bisnis production management: studi kasus usaha mikro kecil dan menengah,Ahmad Mahmudi Yunus,"Nama : Ahmad Mahmudi Yunus Program Studi : Sistem Informasi Judul : Analisis dan Perancangan Sistem Enterprise Resource Planning Fungsi Bisnis Production Management: Studi Kasus Usaha Mikro Kecil dan Menengah Enterprise Resource Planning (ERP) memberikan banyak keuntungan bagi perusahaan. Mahalnya biaya serta lamanya implementasi membuat ERP lebih banyak digunakan oleh perusahaan besar. Padahal ERP juga berpotensi untuk diterapkan di Usaha Mikro Kecil dan Menengah (UMKM). Dalam memilih ERP, perusahaan harus selektif karena ERP yang tersedia memiliki karakteristik masing-masing. Oleh karena itu perlu dibentuk ERP khusus UMKM di Indonesia. Hal ini dilakukan dengan mengetahui karakteristik fungsi bisnis UMKM di Indonesia kemudian dianalisis menjadi generalisasi dari proses bisnis terkait fungsi bisnis tersebut. Salah satu fungsi bisnis yang penting yakni production management. Hasil analisis tersebut berupa rancangan yang bisa digunakan UMKM sebagai acuan pengembangan ERP. Kata kunci: Enterprise Resource Planning, Production Management, Usaha Mikro Kecil dan Menengah"
18/07/2012,Pemetaan dan pengukuran kinerja dari fungsionalitas service automation pada unit customer service perusahaan telekomunikasi studi kasus: PT IndosatM2,Ryan Pradipta Putra,"Pergerakan bisnis yang semakin dinamis di era globalisasi saat ini, telah menciptakan perubahan perilaku konsumen dan pelaku bisnis. Situasi tersebut mendorong para pelaku bisnis di berbagai industri berlomba lomba dalam melakukan inovasi guna memaksimalkan strategi bisnis yang mereka terapkan. Jika pada era sebelumnya pelaku bisnis menjadikan kualitas produk sebagai tumpuan utama mereka (product-oriented), barulah pada saat ini muncul pergeseran paradigma yang menjadikan aspek kualitas layanan menjadi salah satu prioritas utama. CRM menjadi salah satu strategi bisnis yang menjadikan hubungan dengan konsumen sebagai salah satu fokus utamanya untuk meningkatkan efektivitas dan produktivitas layanan dan meningkatkan customer experiences. Tujuan dari penelitian ini adalah untuk membuat model service automation pada sebuah perusahaan telekomunikasi yang besar di Indonesia, PT IndosatM2. Peneliti tertarik untuk mengetahui dan menganalisis kinerja dari fungsionalitas service automation yang diterapkan sebagai salah satu bagian dari strategi operasional CRM pada PT IndosatM2. Dalam pengukuran kinerja fungsionalitas Service automation, sebelumnya dilakukan pengembangan model service automation berdasarkan teori Analytical Hierarchy Process dan penilaian dilakukan oleh experts melalui proses focus group discussion. Model yang telah dibuat kemudian digunakan sebagai benchmark untuk mengukur kinerja Service automation. Hasil penelitian ini menunjukan bahwa perusahaan telah memiliki fungsionalitas service automation sebagai salah satu fungsi yang mendukung aktivitas e-CRM. Lebih lanjut, hasil pengukuran yang telah dilakukan, dapat dilihat bahwa masih terdapat beberapa fungsionalitas dari fungsi service automation yang belum sesuai dengan harapan dan masih perlu diperbaiki. Oleh karena itu, dalam penelitian ini penulis merekomendasikan beberapa fungsionalitas yang perlu dikembangkan lebih lanjut."
18/07/2012,Implementasi monitoring indicator kinerja utama dengan pemanfaatan business intelligence: studi kasus Lembaga Kebijakan Pengadaan barang/jasa Pemerintah,Anastasia Octaviana Khrisna Dewi,"ABSTRAK Nama : Anastasia Octaviana Khrisna Dewi Program Studi : Ilmu Komputer Judul : Implementasi Monitoring Indikator Kinerja Utama dengan Pemanfaatan Business Intelligence : Studi Kasus Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) Dalam rangka pengukuran dan peningkatan kinerja serta lebih meningkatkan akuntabilitas kinerja instansi pemerintah, setiap instansi pemerintah perlu mengimplementasikan Indikator Kinerja Utama. Tingkat akurasi pengolahan data sangat diperlukan untuk mendapatkan hasil Indikator Kinerja Utama yang akurat. Teknologi BI (Business Intelligence) mampu melakukan pengolahan data transaksi yang begitu banyak secara otomatis menjadi infomasi yang berguna untuk keperluan analisis pihak eksekutif. Business intelligence memudahkan pihak eksekutif untuk memantau kinerja organisasi dan membuat keputusan strategis bagi perusahaan. Pada penelitian ini, penulis melakukan implementasi Indikator Kinerja Utama pada Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP). Perlu adanya Indikator Kinerja Utama sebagai tolak ukur penilaian proses pengawasan dan evaluasi pengadaan barang/jasa di Indonesia. Dari kondisi tersebut penulis melakukan penelitian untuk melakukan implementasi Indikator Kinerja Utama dengan membangun teknologi BI berupa data warehouse, online analytical process (OLAP) dan dashboard. Selain itu,penulis juga membantu implementasi Indikator Kinerja Utama dalam bentuk peta. Kata Kunci : LKPP, performance management, key performance indicator, Indikator Kinerja Utama, data warehouse, business intelligence, dashboard, OLAP"
18/07/2012,"Analisis penggunaan manajemen pengetahuan pelanggan (Customer knowledge management) dalam proses pengembangan produk baru: studi kasus PT. XL Axiata, Tbk",Fehmi Rahmita,"ABSTRAK Nama : Fehmi Rahmita Program Studi : Ilmu Komputer Judul : ANALISIS PENGGUNAAN MANAJEMEN PENGETAHUAN PELANGGAN (CUSTOMER KNOWLEDGE MANAGEMENT) DALAM PROSES PENGEMBANGAN PRODUK BARU: STUDI KASUS PT XL AXIATA, TBK. Customer Knowledge Management sekarang ini menjadi studi yang menarik karena pengetahuan pelanggan secara mengejutkan menjadi aset yang sangat berharga sebagai kunci strategis untuk kesuksesan perusahaan. Penyebabnya ialah semakin inginnya memenuhi keinginan dan kebutuhan pelanggan. Untuk menjamin itu, pengetahuan yang dimiliki oleh pelanggan akan disertakan pada setiap proses pengembangan produk baru. Terkait hal tersebut, penelitian yang dilakukan adalah untuk menganalisis CKM dalam proses NPD yang berlangsung pada PT XL Axiata, Tbk. kemudian, akan diberikan saran untuk menyempurnakan proses tersebut menggunakan metode analisis gap. Penelitian ini menggunakan metode pengolahan yang bersifat kualitatif. Untuk memetakan proses NPD yang berlangsung pada XL Axiata, pengumpulan data penelitian dilakukan dengan wawancara terhadap tiga divisi utama terkait penelitian. Penelitian ini menghasilkan pemetaan proses NPD yang terdapat pada PT XL Axiata, Tbk. Tahapan-tahapan apa saja yang terjadi dalam proses tersebut. Kemudian hasil pemetaan tersebut akan dikomparasi dengan best practice yang sudah ada menggunakan analisis gap, sehingga dapat diketahui bahwa terdapat lima tahapan dalam proses NPD yang berlangsung pada XL Axiata, yaitu Identifikasi Peluang, Permodelan, Uji Pasar, Strategi Pemasaran, dan Product Lifecycle Management. Kata Kunci: Customer knowledge management, new product development"
18/07/2012,Analisis fitur media social dalam mendukung peningkatan interaksi dan hubungan dengan pelanggan pada e-commerce b2c: studi kasus BLIBLI.COM,Noor Rahmanto Ragil Utomo,"Skripsi ini menjelaskan tentang pemanfaatan media sosial sebagai di bidang e-commerce B2C dengan studi kasus sebuah online marketplace di Indonesia, yaitu Blibli.com. Perusahaan yang menjalankan bisnis e-commerce B2C sangat memerlukan media sosial agar dapat berinteraksi dan berhubungan dengan pelanggannya karena pelanggan sekarang dapat dengan mudah membagi pengalaman mereka terhadap suatu perusahaan atau merek. Penelitian ini dilakukan dengan menggunakan wawancara dan observasi dalam proses pengumpulan data. Penulis menemukan sejumlah fitur dalam media sosial yang bisa digunakan dalam e-commerce. Selanjutnya, penulis juga memberikan rekomendasi berupa fitur-fitur pada media sosial yang dapat digunakan oleh Blibli.com. Penulis menunjukkan contoh penggunaan fitur dari sejumlah situs media sosial. Penggunaan fitur dalam media sosial diharapkan dapat membantu dalam menciptakan dan meningkatkan interaksi serta hubungan antara pelanggan dengan Blibli.com. Kata Kunci: Media sosial, electronic commerce, B2C, fitur."
18/07/2012,Analisis kinerja aplikasi amber pada lingkungan komputasi cluster dan graphics processing unit,Aruni Yasmin Azizah,"ABSTRAK Nama : Aruni Yasmin Azizah Program Studi : Ilmu Komputer Judul : Analisis Kinerja Aplikasi AMBER pada Lingkungan Komputasi Cluster dan Graphics Processing Unit Dinamika molekuler memiliki banyak manfaat, di antaranya sebagai media penemuan obat dan media pembelajaran protein folding. Namun, karena adanya kebutuhan untuk memenuhi sumber daya komputasi yang dapat mengatasi jumlah data yang sangat besar pada dinamika molekuler, muncullah persaingan teknologi high performance computing yang berusaha untuk mengatasi masalah tersebut, khususnya teknologi lingkungan komputasi cluster dan Graphics Processing Unit (GPU). Penelitian mengenai kedua lingkungan komputasi ini dalam dinamika molekuler sampai saat ini terus dikembangkan. Dengan adanya fenomena tersebut, penelitian kali ini dilakukan untuk menganalisis bagaimana perbandingan kinerja antara lingkungan komputasi cluster dengan GPU dalam menjalankan simulasi dinamika molekuler menggunakan aplikasi Assisted Model Building with Energy Refinement (AMBER). Simulasi dijalankan pada tiga jenis protein, yaitu tryptophan cage (TRPCage), myoglobin, dan dihydrofolate reductase (DHFR). Perangkat keras yang digunakan adalah Cluster05 dan beberapa GPU milik Fakultas Ilmu Komputer, Universitas Indonesia, yaitu GeForce GTX465, GeForce GTX470, GeForce GTX560, dan Quadro 4000. Berdasarkan hasil penelitian, diketahui bahwa kinerja semua GPU lebih baik dibandingkan Cluster05 di mana terjadi peningkatan kinerja dari 14 sampai 39 kali lipat. Kata-kata kunci: AMBER, GPU, cluster, dinamika molekuler"
18/07/2013,Konversi sistem berorientasi objek menjadi software product line dengan abstract behavioral specification delta modeling,Ricky Timothy Gultom,"Skripsi ini membahas tentang melakukan konversi sistem berorientasi objek menjadi sofware product line dengan menggunakan konsep pemodelan delta yang dimiliki oleh Abstract Behavioral Specification (ABS). ABS merupakan bahasa pemodelan yang ditargetkan untuk mengembangkan sistem dengan tingkat variasi yang tinggi dan mendukung pengembangan Software Product Line (SPL) melalui pemodelan delta. Sistem berorientasi objek yang ingin dikonversi menjadi SPL adalah sistem perpustakaan digital di lingkungan Universitas Indonesia yaitu LONTAR. Selama ini, LONTAR hanya menggunakan layanan web berbasis SOAP. Dengan menggunakan ABS, penulis mencoba mengonversi LONTAR menjadi SPL sehingga dapat menggunakan SOAP dan juga layanan web lainnya dalam hal ini REST. Latar belakang ingin dikonversinya LONTAR dari orientasi objek menjadi SPL dengan menggunakan ABS adalah karena lebih mudah untuk mengembangkan sistem dengan ABS dibandingkan dengan pendekatan orientasi objek biasa. Pendefinisian produk baru di ABS relatif lebih mudah dibandingkan harus membuat class baru dan melakukan kustomisasi agar class baru tersebut dapat bekerja dengan baik."
18/07/2014,Eksploitasi peran dari konsep CRM 2.0 terhadap proses dalam customer knowledge creation dan customer knoledge type,Dimash Narendra,"ABSTRAK Nama : Dimash Narendra Program Studi : Sistem Informasi Judul : Eksplorasi Peran dari Konsep CRM 2.0 terhadap Proses dalam Customer Knowledge Creation dan Customer Knowledge Type Sebagai upaya untuk meningkatkan daya saing perusahaan di saat semakin meningkatnya tingkat kompetisi bisnis di dunia, perusahaan terus mencari cara untuk mengelola hubungan dengan pelanggannya agar lebih efektif dari waktu ke waktu. Hasilnya, saat ini konsep pengelolaan hubungan dengan pelanggan menjadi hal yang paling utama dalam perusahaan dimana perusahaan yang awalnya berbentuk company-centric berubah menjadi customer-centric dengan mengaplikasikan sistem Customer Relationship Management (CRM). Seiring berkembangnya teknologi telekomunikasi, konsep CRM pun berkembang menjadi konsep CRM 2.0 dimana aplikasi Web 2.0 digunakan sebagai enabler dari aktivitasaktivitas dalam CRM. Dalam hal ini, aplikasi Web 2.0 digunakan untuk menunjang aktivitas-aktivitas dalam CRM untuk meningkatkan kolaborasi dengan pelanggannya demi menciptakan produk atau layanan yang sesuai dengan keinginan dan kebutuhan pelanggan. Dalam hal ini, perusahaan harus mampu mengetahui dan menangkap knowledge yang ada pada pelanggan sebagai konsep dalam Customer Knowledge Management (CKM). Dalam penelitian ini, dilakukan penelitian terhadap bagaimana peran dari konsep CRM 2.0 terhadap CKM dalam hal proses dalam customer knowledge creation dan customer knowledge type. Dapat disimpulkan dari penelitian ini bahwa konsep CRM 2.0 memiliki peran yang besar dalam proses externalization dan menghasilkan banyak knowledge dari pelanggan (knowledge from customer) dan knowledge tentang pelanggan (knowledge about customer). Kata Kunci: CRM, CRM 2.0, Web 2.0, Customer Knowledge Creation, Customer Knowledge Type"
18/07/2014,Penerapan kerangka kerja SNI ISO/IEC 27001:2009 untuk audit keamanan jaringan nirkabel : studi kasus PT. PGAS solution,Wilhan Tjahjadi,"ABSTRAK Nama : Wilhan Tjahjadi Program Studi : Sistem Informasi Judul : Penerepan Kerangka Kerja SNI ISO/IEC 27001:2009 untuk Audit Keamanan Jaringan Nirkabel: Studi Kasus PT. PGAS Solution Jaringan wireless atau biasa dikenal dengan wi-fi sudah banyak ditemukan dalam kehidupan sehari hari baik di rumah maupun pada perusahaan atau organisasi. Jaringan wireless dipilih karena kemudahan yang diberikannya, terutama kemudahannya dalam melakukan koneksi ke internet. Banyak perusahaan yang belum menyadari pentingnya menjaga keamanan dari jaringan nirkabel mereka sehingga hal tersebut dapat menjadi sebuah kerentanan yang dapat dimanfaatkan oleh pihak yang tidak bertanggung jawab. Oleh karena itu, salah satu solusi yang dapat dilakukan untuk menanggulangi masalah tersebut adalah dengan melakukan audit. Audit teknologi informasi sebaiknya mengikuti sebuah standar, akan tetapi untuk saat ini belum ada standar yang membahas secara spesifik terkait audit jaringan nirkabel. Salah satu standar umum yang dapat dipakai untuk audit teknologi informasi adalah SNI ISO/IEC 27001:2009. Dengan melakukan penyesuaian dan memperkaya standar tersebut dengan sumber lain seperti best practice dan guidelines untuk keamanan jaringan wireless, maka dapat menciptakan suatu kerangka kerja yang lebih kuat dan spesifik. Produk yang dihasilkan dari hasil audit ini adalah status kepatuhan organisasi terhadap kerangka kerja yang telah disusun dan rekomendasi untuk menutupi kelemahan kelemahan tersebut. Sehingga dengan melakukan proses audit maka dapat tercipta keamanan jaringan nirkabel yang lebih baik. Kata Kunci: Audit Teknologi Informasi, Jaringan Wireless, Jaringan Nirkabel, SNI ISO/IEC 27001:2009, Wi-Fi, Keamanan Jaringan Nirkabel"
18/07/2014,Analisis dan rancangan sisem informasi klinik kesehatan (E-Clinic) berbasis Cloud Computing,Nurlaili Fajriyah,"ABSTRAK Nama : Nurlaili Fajriyah Program Studi : Sistem Informasi Judul : Analisis dan Rancangan Sistem Informasi Klinik Kesehatan (e- Clinic) Berbasis Cloud Computing Sebagai salah satu fasilitas pelayanan kesehatan tingkat pertama, klinik harus bisa menjadi akses pertama masyarakat sebelum pergi ke rumah sakit, agar sistem rujukan sesuai yang diharapkan oleh undang-undang dapat tercapai. Namun, sebagian besar masyarakat saat ini lebih memilih rumah sakit. Hal ini dikarenakan kualitas layanan klinik yang kurang optimal. Penerapan teknologi informasi diharapkan dapat menjadi salah satu solusi untuk mengatasi permasalahanpermasalahan terkait layanan klinik. Penelitian ini bertujuan memberikan hasil analisis dan rancangan sistem informasi yang bisa memenuhi kebutuhan klinik dalam menjalankan proses bisnisnya. Hasil analisis dan perancangan sistem informasi klinik pada penelitian ini adalah berupa penggambaran proses bisnis klinik menggunakan BPMN, kebutuhan fungsional klinik dengan pendekatan use case, analisis interaksi antar kelas yang terlibat menggunakan class diagram, perancangan basis data dengan ERD, dan yang terakhir adalah perancangan arsitektur menggunakan teknologi cloud computing. Kata Kunci: Pelayanan Kesehatan, Klinik, BPMN, Use Case, Class Diagram, ERD, Cloud Computing."
18/07/2014,Sistem pembangkit puisi otomatis berdasarkan grammar dan semantik dengan menggunakan chart generation,Berty Chrismartin Lumban Tobing,"ABSTRAK Nama : Berty Chrismartin Lumban Tobing Program Studi : Ilmu Komputer Judul : Sistem Pembangkit Puisi Otomatis Berdasarkan Grammar dan Semantik dengan Menggunakan Chart Generation Puisi merupakan karya seni yang mengungkapkan suatu pesan dengan keindahan dalam penyampaiannya. Keindahan tersebut ditampilkan dalam bentuk rima, penekanan kata, banyaknya suku kata, dan penggunaan kata-kata puitis. Penelitian ini bertujuan membangun suatu sistem yang dapat membangkitkan puisi berbahasa Inggris secara otomatis menggunakan Natural Language Generation. Puisi dibangkitkan berdasarkan grammar dan semantik suatu konteks tertentu dengan menggunakan chart generation dan pendekatan constraint satisfaction. Aspek-aspek yang terkandung dalam puisi yang berhasil dibangkitkan dianalisis untuk menilai kinerja dari sistem yang dibuat. Hasil penelitian menunjukkan bahwa penyempurnaan grammar dan leksikon sangat dibutuhkan untuk hasil yang lebih baik dalam sistem pembangkitan puisi ini. Kata Kunci: puisi, puitis, pembangkitan puisi otomatis, grammar, semantik, constraint satisfaction problem, chart generation, natural language generation"
18/07/2014,Pengembangan aplikasi monitoring berbasis protokol SNMP untuk Fakultas Ilmu Komputer Universitas Indonesia,Maldy Vinandar Agavia,"ABSTRAK Nama : Maldy Vinandar Agavia Program Studi : Ilmu Komputer Judul : Pengembangan Aplikasi Monitoring Berbasis Protokol SNMP untuk Fakultas Ilmu Komputer Universitas Indonesia Kompleksitas dan banyaknya perangkat teknologi yang terhubung di dalam suatu jaringan akan menyulitkan proses monitoring secara manual atas utilisasi berbagai perangkat tersebut. Untuk mempermudah proses monitoring dan pengelolaan perangkat Internet Protocol (IP), digunakan protokol SNMP sebagai standar komunikasi. Penelitian ini berisi tentang pengembangan sebuah aplikasi monitoring berbasis SNMP untuk diterapkan pada laboratorium komputer mahasiswa pada Fakultas Ilmu Komputer, Universitas Indonesia. Aplikasi dipasang pada sebuah virtual server (manager) yang akan mengumpulkan informasi utilisasi dari setiap PC (agent) di dalam lab. Informasi utilisasi yang dipantau pada masing-masing PC mencakup CPU load, penggunaan memori dan harddisk, serta jumlah dan nama proses yang sedang berjalan. Kata Kunci: Monitoring, SNMP, jaringan"
18/07/2014,Evaluasi aplikasi moodle mobile sebagai panduan pengembangan prototipe scele mobile,Niken Paramita,"ABSTRAK Nama : Niken Paramita Program Studi : Ilmu Komputer Judul : Evaluasi Aplikasi Moodle Mobile sebagai Panduan Pengembangan Prototipe SCELE Mobile Student Centered E-Learning Environment (SCELE) adalah sistem e-learning yang telah menjadi bagian penting dalam kegiatan perkuliahan di Fakultas Ilmu Komputer Universitas Indonesia selama hampir satu dekade. Seiring dengan berjalannya waktu, timbulah ide untuk membuat sistem ini dalam versi aplikasi mobile. Untuk mewujudkan ide tersebut, penelitian ini mencoba untuk mengambil langkah awal dalam proses pengembangannya, yaitu dengan mengembangkan prototipe SCELE Mobile. Proses pengembangan prototipe ini melibatkan evaluasi aplikasi Moodle Mobile, sebuah aplikasi mobile learning dari Moodle. Evaluasi yang dilakukan terdiri dari usability testing dan analisis data untuk menghasilkan rekomendasi yang nantinya digunakan sebagai panduan pengembangan prototipe SCELE Mobile. Setelah prototipe SCELE Mobile selesai dikembangkan, prototipe ini diuji kembali dalam usability testing yang kedua. Hasil dari usability testing ini digunakan sebagai bahan evaluasi untuk proses pengembangan aplikasi SCELE Mobile di kemudian hari. Kata Kunci: SCELE, aplikasi mobile, Moodle Mobile, mobile learning, usability testing"
18/07/2014,"SIMPLENLGMULTI: Versi adaptasi simplemnlg, surface realiser untuk pendukung pembangkitan teks berbahasa Indonesia dan penggunaannya secara multilingual",Erryan Sazany,"ABSTRAK Nama : Erryan Sazany Program Studi : Ilmu Komputer Judul : SimpleNLGMulti : Versi Adaptasi SimpleNLG, Surface Realiser untuk Pendukungan Pembangkitan Teks Berbahasa Indonesia dan Penggunaannya Secara Multilingual Karya tulis ini berisi penjelasan mengenai pengembangan SimpleNLGMulti, modifikasi dari sebuah surface realizer SimpleNLGEnFr (versi adaptasi SimpleNLG) yang mendukung pemakaian Bahasa Indonesia. Penjelasan akan meliputi rancangan sistem, implementasi, dan pengujian sistem pada fitur-fitur yang ditambahkan, baik dari segi sintaktik, morfologis, maupun leksikal. Untuk pendukungan Bahasa Indonesia, grammatical coverage SimpleNLGMulti memang masih sempit, namun telah mampu untuk membangkitkan teks-teks dengan struktur yang sederhana. Modifikasi lain yang cukup signifikan ada pada lexicon yang digunakan, dimana strukturnya mengalami perubahan untuk pendukungan pemakaian secara multilingual yang lebih mudah dan dari segi pengembangan akan lebih reusable dibandingkan SimpleNLG dan SimpleNLGEnFr. Kata Kunci: SimpleNLG, SimpleNLGNMulti, SimpleNLGEnFr, Natural Language Processing, Natural Language Generation, surface realiser, realisasi, sintaks, sintaktik, morfologi, morfologis, leksikal, leksikon, multilingual, WordNET, concept ID, frase, klausa, imbuhan, fitur bahasa. vii"
18/07/2014,Metode pembentukan korpus teks dengan memanfaatkan twitter: studi kasus Bahasa Jawa,Mercia,"ABSTRAK Nama : Mercia Program Studi : Ilmu Komputer Judul : Metode Pembentukan Korpus Teks dengan Memanfaatkan Twitter: Studi Kasus Bahasa Jawa Indonesia memiliki banyak bahasa daerah yang perlu dilestarikan keberadaannya. Salah satu cara untuk dapat melestarikan bahasa daerah adalah dengan membuat korpus teks bahasa daerah. Twitter sebagai sumber aliran data dari berbagai bahasa di dunia dapat dimanfaatkan sebagai sumber korpus teks. Terdapat dua API Twitter yang dapat digunakan untuk melakukan crawling tweet suatu bahasa daerah, yaitu Streaming API dan REST API. Streaming API dapat digunakan untuk mengoleksi tweet secara realtime berdasarkan kata kunci pada parameter track. REST API dapat digunakan untuk mencari tweet sampai tujuh hari terakhir dengan suatu parameter query dan mencari tweet-tweet dari timeline seorang pengguna Twitter. Tugas akhir ini melaporkan pemanfaatan kedua API Twitter agar dapat menemukan konfigurasi yang dapat menghasilkan tweet sebanyakbanyaknya, presisi yang paling bagus, dan yang memiliki keseimbangan terbaik antara nilai presisi dan jumlah tweet yang dihasilkan. Selain itu, juga akan terdapat informasi mengenai resource korpus bahasa daerah yang berhasil penulis buat dan dapat diunduh secara gratis. Kata Kunci: Bahasa daerah, crawling, tweet, timeline, REST API, Streaming API, query, track, korpus teks."
